pcf_id,pcf_cost,pcf_stock,ingram_id,ingram_cost,ingram_stock,intcomex_id,intcomex_cost,intcomex_stock
42554,17130.0,0.0,5240659,17.9,235.0,T555220-AL,18.2,20.0
42555,17139.0,0.0,5240660,17.91,220.0,T555320-AL,18.5,20.0
42556,17130.0,0.0,5240661,17.91,232.0,T555420-AL,18.2,20.0
42557,17149.0,0.0,5240662,17.93,202.0,T555520-AL,18.3,20.0
43161,363859.0,-1.0,5190691,369.49,10.0,B11B261201,365.55,14.0
43744,286979.0,0.0,5304147,306.83,87.0,BX8071512700KF,329.1,20.0
44289,131789.0,1.0,5330107,137.97,40.0,FQC-10553,144.2,20.0
45077,213038.0,0.0,4600507,227.13,67.0,100002540.0,224.8,20.0
45373,24659.0,953.0,5440999,25.75,5811.0,T544520-4P,25.8,20.0
45374,24844.0,1.0,5473672,26.14,858.0,T664520-4P,25.3,20.0
45884,14786.0,0.0,5548642,16.71,37.0,LC402BKS,16.9,20.0
45888,31300.0,9.0,5549065,34.41,379.0,LC402XLBKS,34.6,20.0
45889,20513.0,0.0,5549066,21.44,59.0,LC402XLCS,21.5,20.0
45890,19500.0,11.0,5549067,21.44,202.0,LC402XLMS,21.5,20.0
45891,19500.0,12.0,5549068,21.44,23.0,LC402XLYS,21.7,20.0
46621,105534.0,0.0,1858358,141.28,31.0,CE412A,159.5,6.0
46625,91102.0,0.0,4495577,120.57,72.0,W2022A,120.1,20.0
46626,112256.0,0.0,4495575,120.59,54.0,W2021A,120.8,20.0
47090,112034.0,0.0,4495579,120.62,54.0,W2023A,120.8,20.0
47249,298710.0,0.0,4630675,314.06,7.0,R2H28A,298.8,20.0
47954,28301.0,0.0,5628339,29.41,369.0,100017637.0,32.7,20.0
48503,36930.0,3.0,6567740,50.44,118.0,100017654.0,56.9,20.0
48594,235287.0,122.0,5736116,264.15,248.0,C11CK57303,258.9,9.0
48849,817462.0,0.0,4489382,864.58,5.0,B11B251201,921.91,1.0
49020,288174.0,0.0,5701062,346.09,24.0,LS32BG650ELXZS,354.0,20.0
49621,528564.0,40.0,5917221,584.18,179.0,V11HA85020,461.03,11.0
49672,22813.0,0.0,6111380,23.86,5.0,C13T52L220,24.1,3.0
49673,22813.0,0.0,6111381,23.86,4.0,C13T52L320,24.1,2.0
49677,309186.0,0.0,5898461,326.04,83.0,100017132.0,300.1,20.0
49682,7786.0,0.0,5891621,8.13,260.0,T574220-AL,8.6,20.0
49683,7784.0,0.0,5891622,8.13,264.0,T574320-AL,8.6,20.0
49684,7874.0,0.0,5891623,8.13,237.0,T574420-AL,8.6,20.0
49685,7874.0,0.0,5891624,8.13,251.0,T574520-AL,8.6,20.0
49916,28300.0,151.0,6567739,33.22,844.0,100017075.0,37.6,20.0
50505,238802.0,0.0,5906597,258.1,19.0,BX8071514600K,280.9,20.0
50506,249597.0,0.0,5906598,244.92,40.0,BX8071514600KF,265.3,20.0
