pcf_id,ingram_part,description,vendor_name,vendor_part,customer_price,available_qty,category,subcategory,api_status,mayorista,lista,stock_pcf,stock_raw,nombre_pcf,precio_normal,precio_oferta,ficha_vacia,stock_detail,error,solotodo_id,pcf_price,min_price,mode_price,mean_price,categoria
,6119453,High Performance Fan 16G,Dell,121-BBBS,31.17,1,Componentes de Sistema,Componentes de Gabinete,,,,,,,,,,,,,,,,,need_creation
,6121030,L3560 RETAIL,Epson,C11CK58302,198.43,38,Impresoras,Impresoras de Inyección de Tinta,,,,,,,,,,,,223197,,178900,197990,219937,need_creation
,6123818,T01C100 NEGRO WF-C579R 10.000 PAG,Epson,T01C100,36.1,25,Suministros y Medios,Suministros Inyección de Tinta,,,,,,,,,,,,278792,,47880,,47880,need_creation
,6123822,T01D100 NEGRO WF-C579R 50.000 PAG,Epson,T01D100,171.18,2,Suministros y Medios,Suministros Inyección de Tinta,,,,,,,,,,,,259970,,190292,,199360,need_creation
,6123823,T01D200 CYAN WF-C579R 20.000 PAG,Epson,T01D200,133.04,4,Suministros y Medios,Suministros Inyección de Tinta,,,,,,,,,,,,259967,,119900,,148899,need_creation
,6123824,T01D300 MAGENTA WF-C579R 20.000 PAG,Epson,T01D300,133.04,4,Suministros y Medios,Suministros Inyección de Tinta,,,,,,,,,,,,259969,,119900,,148480,need_creation
,6123845,T01D400 AMARILLO WF-C579R 20.000 PAG,Epson,T01D400,133.04,4,Suministros y Medios,Suministros Inyección de Tinta,,,,,,,,,,,,259968,,119900,,149929,need_creation
,6123846,T02Q HIGH-CAP BLACK INK CARTRIDGE,Epson,T02Q120,206.97,8,Suministros y Medios,Suministros Inyección de Tinta,,,,,,,,,,,,263300,,234490,,236992,need_creation
,6123847,T02Q HIGH-CAP CYAN INK CARTRIDGE,Epson,T02Q220,335.58,7,Suministros y Medios,Suministros Inyección de Tinta,,,,,,,,,,,,263301,,384990,,384990,need_creation
,6123848,T02Q HIGH-CAP MAGENTA INK CARTRIDGE,Epson,T02Q320,335.58,8,Suministros y Medios,Suministros Inyección de Tinta,,,,,,,,,,,,263298,,379900,,386445,need_creation
