pcf_id,ingram_part,description,vendor_name,vendor_part,customer_price,available_qty,category,subcategory,api_status,mayorista,lista,stock_pcf,stock_raw,nombre_pcf,precio_normal,precio_oferta,ficha_vacia,stock_detail,error,catalog_provider
55847,nan,"ASUS - Notebook - 14"" - Intel Core i7 I7-1355U - 16 GB - 1 TB SSD - NVIDIA GeForce RTX 2050 - Windows 11 Pro",nan,90NX06Z1-M002K0,1068.9,20,nan,Physical,ok,True,1,30,+30,"Notebook ExpertBook B3 14"" Intel Core i7-1355U 16GB RAM 1TB SSD Windows 11 Pro B3404CVF-Q50063X ",0,0,False,{},,ingram
56848,nan,"ASUS - Notebook - 14"" - Intel Core 5 210H / 2.5 GHz - 16 GB - DDR5 SDRAM - 512 GB SSD - Integrated graphics - Windows 11 Pro - P1403CVA-S61407X",nan,90NX0871-M01LL0,801.19,20,nan,Physical,ok,True,1,30,+30,"Notebook ExpertBook P1 Intel Core 5 210H 14"" 16GB RAM 512GB SSD Windows 11 Pro",0,0,False,{},,ingram
56756,nan,"ASUS B3405CCA-LY0354X - Notebook - 14"" - Intel Core Ultra 5 225H / 4.9 GHz - 16 GB - DDR5 SDRAM - 512 GB - Intel HD Graphics - Windows 11 Pro-300nits-WUXGA (1920 x 1200) 16:10",nan,90NX08L1-M00CC0,953.4,20,nan,Physical,ok,True,1,20,20,"Notebook ExpertBook B3 Intel Ultra 5 225H 16GB RAM 512GB SSD 14"" Windows 11 Pro 90NX08L1-M00CC0",0,0,False,{},,
55241,nan,HPE - Server - Intel Xeon 3508U - ProLiant DL320 Gen11,nan,P81425-DM5,9480.2,1,nan,Physical,ok,True,1,3,3,Server HPE PROLIANT DL320 GEN11 3508U 2.1GHZ 8C 1P 1X32GB R 4LFF 2X960GB SSD 1X800W PS LA SERVER,0,0,False,{},,ingram
54949,nan,"HPE Aruba AP-515 (RW) - Punto de acceso inalámbrico - Bluetooth, Wi-Fi 6 - 2.4 GHz, 5 GHz - en el techo",nan,Q9H62A,490.5,20,nan,Physical,ok,True,1,50,+50,Aruba AP-515 (RW) Unified AP,0,0,False,{},,ingram
54957,nan,"HPE Aruba AP-615 (RW) - Campus - punto de acceso inalámbrico - Wi-Fi 6E - 2.4 GHz, 5 GHz, 6 GHz",nan,R7J49A,441.4,10,nan,Physical,ok,True,1,19,19,ARUBA AP 615 RW CAMPUS AP,0,0,False,{},,ingram
56780,nan,ASUS - Desktop - Intel Core Ultra 5 225 / 3.3 GHz - DDR5 SDRAM - 512 GB Hard Drive Capacity - Intel UHD Graphics - Windows 11 Pro,nan,90PF05E1-M001H0,826.02,20,nan,Physical,ok,True,1,12,12,Desktop ExpertCenter D700 SFF Intel Ultra 5 225 8GB RAM 512GB SSD Windows 11 Pro ,0,0,False,{},,ingram
56777,nan,ASUS - Intel Core 7 240H / 2.5 GHz - DDR5 SDRAM - Integrated graphics - Windows 11 Pro - P470VAT-BPF189X,nan,90PT03W6-M02X30,1123.7,20,nan,Physical,ok,True,1,50,+50,"All in One ExpertCenter P470VA Intel Core 7 240H 27"" Touch 16GB RAM 1TB SSD Windows 11 Pro",0,0,False,{},,ingram
55529,nan,"Lenovo ThinkCentre neo 50a - All-in-one - Intel Core i5 210H / 3.6 GHz - DDR5 SDRAM - 512 GB HDD - 23.8"" - Intel HD Graphics - Windows 11 Pro - All black - Spanish",nan,12SD007LCS,773.1,20,nan,Physical,ok,True,1,20,20,"All in One Thinkcentre Neo 50a Intel Core 5-210H 24""16GB 512GB SSD Windows 11 Pro 12SD007DCS",0,0,False,{},,ingram
56493,nan,Dell Pro Slim - Intel Core i7 14700 / 5.3 GHz - DDR5 SDRAM - 512 GB Hard Drive Capacity - Integrated graphics - Windows 11 Pro - Spanish,nan,1N5GV,1029.5,20,nan,Physical,ok,True,1,50,+50,Desktop Dell Pro Slim QCS1250 Intel Core i7-14700 16GB RAM 512GB SSD Windows 11 Pro,0,0,False,{},,ingram
56713,nan,Dell Pro - Slim - Intel Core Ultra 7 265 / 5.3 GHz - DDR5 SDRAM - 512 GB Hard Drive Capacity - Integrated graphics - Windows 11 Pro - QCS1250,nan,YDHJD,1147.9,20,nan,Physical,ok,True,1,50,+50,Desktop Dell Pro Slim Intel Ultra 7 265 16GB RAM 512GB SSD Windows 11 Pro QCS1250 ,0,0,False,{},,ingram
14996,nan,"Epson LX 350 - Impresora - B/N - matriz de puntos - Rollo (21,6 cm), JIS B4, 254 mm (anchura) - 9 espiga - hasta 390 caracteres/segundo - paralelo, USB 2.0, serial",nan,C11CC24011,179.4,2,nan,Physical,ok,True,1,12,12,Impresora Matriz LX-350+ 9 pines c/angosto,0,0,False,{},,ingram
24361,nan,Epson WorkForce WF 100 - Portatil - USB - CMYK 5760 x 1440 Dpi,nan,C11CE05302,298.38,2,nan,Physical,ok,True,1,3,3,Impresora Tinta Portatil con Bateria WF100,0,0,False,{},,ingram
56424,nan,Epson WorkForce Pro C5890 - Printer Latin,nan,C11CK23301,434.76,8,nan,Physical,ok,True,1,22,22,Multifuncional Tinta Continua WorkForce Pro WF-C5890 WiFi,0,0,False,{},,ingram
56086,nan,Epson WorkForce Pro C5810,nan,C11CK24301,386.94,2,nan,Physical,ok,True,1,1,1,Multifuncional Tinta Continua  WorkForce Pro WF-C5810 WiFi-Direct,0,0,False,{},,ingram
56083,nan,Epson WorkForce Pro EM-C8100 - Copier / Printer / Scanner - C11CL31301,nan,C11CL31301,1608.5,3,nan,Physical,ok,True,1,10,10,Multifuncional Tinta Continua WorkForce Pro EM-C8100 USB / WiFi / Ethernet,0,0,False,{},,ingram
33864,nan,"APC Easy UPS SRV SRV3KI - UPS - CA 230 V - 2400 vatios - 3000 VA - USB, RS-232 - conectores de salida: 7",nan,SRV3KI,501.7,9,nan,Physical,ok,True,1,5,5,APC EASY UPS SRV 3000VA On Line,0,0,False,{},,
55260,nan,APC Back-UPS Pro BR900MI - UPS - CA 230 V - 540 vatios - 900 VA - USB - conectores de salida: 6 - negro,nan,BR900MI,204.5,2,nan,Physical,ok,True,1,12,12,UPS Back UPS Pro BR 900VA. 6 Outlets. AVR. LCD Interface,0,0,False,{},,ingram
56545,nan,"APC Smart-UPS SRT 1000VA - UPS (montaje en rack / externo) - CA 230 V - 1000 vatios - 1000 VA - RS-232, USB - conectores de salida: 6 - PFC - negro",nan,SRT1000XLI,1103.5,1,nan,Physical,ok,True,1,2,2,APC Smart-UPS SRT 1000VA 230V,0,0,False,{},,
56541,nan,APC Easy UPS On-Line SRV3KRIRK-E - UPS - On-line,nan,SRV3KRIRK-E,881.2,9,nan,Physical,ok,True,1,8,8,APC EASY UPS ON-LINE SRV RM 3000VA 2700W,0,0,False,{},,ingram
35992,nan,APC - UPS - 230 Watt,nan,BV500I-MS,68.4,20,nan,Physical,ok,True,1,29,29,UPS 500VA/300W Easy-UPS Interactiva,0,0,False,{},,ingram
54696,nan,ASUS - PCI Express 5.0. - NVIDIA GeForce RTX 5070 - PRIME-RTX5070-O12G,nan,90YV0M10-M0AA00,692.8,20,nan,Physical,ok,True,1,10,10,Tarjeta de Video NVIDIA Geforce RTX5070 O12G PRIME,0,0,False,{},,ingram
